Round Number, Network Remaining Energy
1016,1.992429
1017,1.977273
1018,1.963167
1019,1.944796
1020,1.930154
1021,1.918621
1022,1.900210
1023,1.885778
1024,1.870939
1025,1.856653
1026,1.842408
1027,1.828227
1028,1.812220
1029,1.797569
1030,1.793808
1031,1.776585
1032,1.763013
1033,1.743734
1034,1.727459
1035,1.714022
1036,1.688926
1037,1.675796
1038,1.662617
1039,1.649872
1040,1.637659
1041,1.631859
1042,1.629802
1043,1.614311
1044,1.601496
1045,1.586651
1046,1.570403
1047,1.556199
1048,1.543563
1049,1.531029
1050,1.529390
1051,1.516523
1052,1.503721
1053,1.486334
1054,1.473193
1055,1.460515
1056,1.446987
1057,1.433681
1058,1.420895
1059,1.407740
1060,1.395189
1061,1.381436
1062,1.375636
1063,1.363090
1064,1.350262
1065,1.337661
1066,1.321705
1067,1.309262
1068,1.305493
1069,1.293193
1070,1.278750
1071,1.266550
1072,1.254284
1073,1.242837
1074,1.230884
1075,1.215806
1076,1.200442
1077,1.189261
1078,1.186516
1079,1.172821
1080,1.167821
1081,1.154979
1082,1.151620
1083,1.140332
1084,1.127156
1085,1.115439
1086,1.104327
1087,1.093782
1088,1.082362
1089,1.071440
1090,1.060415
1091,1.055615
1092,1.044850
1093,1.040050
1094,1.029056
1095,1.027828
1096,1.017201
1097,1.004611
1098,0.993823
1099,0.983921
1100,0.982694
1101,0.971186
1102,0.961360
1103,0.950218
1104,0.939575
1105,0.929878
1106,0.918910
1107,0.907137
1108,0.896531
1109,0.887194
1110,0.882794
1111,0.872832
1112,0.863286
1113,0.853943
1114,0.842513
1115,0.838141
1116,0.828578
1117,0.817995
1118,0.808713
1119,0.799230
1120,0.789696
1121,0.782662
1122,0.771810
1123,0.761746
1124,0.757546
1125,0.749288
1126,0.742091
1127,0.733411
1128,0.729411
1129,0.720809
1130,0.712102
1131,0.703526
1132,0.694943
1133,0.685859
1134,0.681859
1135,0.673015
1136,0.672246
1137,0.663722
1138,0.654422
1139,0.645125
1140,0.641325
1141,0.632804
1142,0.627571
1143,0.619205
1144,0.611529
1145,0.603000
1146,0.600875
1147,0.592749
1148,0.584802
1149,0.581202
1150,0.577602
1151,0.569747
1152,0.561947
