Round Number, Total Energy Consumption
769,41.361683
770,41.395237
771,41.433471
772,41.467082
773,41.499786
774,41.532799
775,41.566077
776,41.601014
777,41.634953
778,41.671003
779,41.703537
780,41.738432
781,41.775368
782,41.808474
783,41.841888
784,41.877140
785,41.910279
786,41.949076
787,41.982207
788,41.985270
789,42.019483
790,42.052103
791,42.088467
792,42.091840
793,42.130833
794,42.164424
795,42.197510
796,42.233938
797,42.270438
798,42.303695
799,42.335825
800,42.367766
801,42.401585
802,42.436898
803,42.472704
804,42.507120
805,42.542079
806,42.580040
807,42.612031
808,42.650120
809,42.682336
810,42.720638
811,42.736850
812,42.772341
813,42.806821
814,42.839943
815,42.876465
816,42.909389
817,42.942448
818,42.980190
819,43.017409
820,43.050401
821,43.084302
822,43.120807
823,43.154278
824,43.190567
825,43.224638
826,43.256503
827,43.292903
828,43.306081
829,43.340674
830,43.362400
831,43.395692
832,43.432042
833,43.464624
834,43.503391
835,43.537840
836,43.573955
837,43.607429
838,43.641426
839,43.685557
840,43.718641
841,43.756831
842,43.791272
843,43.833569
844,43.866033
845,43.898421
846,43.931248
847,43.964405
848,43.998105
849,44.001432
850,44.033742
851,44.064717
852,44.096999
853,44.129955
854,44.161004
855,44.192104
856,44.223251
857,44.256533
858,44.290568
859,44.322678
860,44.354710
861,44.386243
862,44.409569
863,44.442244
864,44.473070
865,44.506838
866,44.537530
867,44.571694
868,44.602974
869,44.633410
870,44.663927
871,44.697323
872,44.728693
873,44.759223
874,44.780343
875,44.813419
876,44.844595
877,44.875691
878,44.906178
879,44.936791
880,44.970844
881,44.999619
882,45.016237
883,45.047846
884,45.077252
885,45.107440
886,45.131311
887,45.161648
888,45.191451
889,45.219217
890,45.244927
891,45.276306
892,45.283561
893,45.311108
894,45.337932
895,45.375661
896,45.405770
897,45.430765
898,45.465310
899,45.492969
900,45.519925
901,45.548016
902,45.578098
903,45.604820
904,45.615913
905,45.643945
906,45.695033
907,45.722424
908,45.748247
909,45.775168
910,45.798024
911,45.826846
912,45.852150
913,45.877773
914,45.903395
915,45.932970
916,45.958514
917,45.984130
918,46.003967
919,46.029156
920,46.055903
921,46.080619
922,46.107341
923,46.132290
924,46.157891
925,46.181711
926,46.206263
927,46.214383
928,46.239940
929,46.266136
930,46.271518
931,46.295923
932,46.321992
933,46.346126
934,46.370835
935,46.394835
936,46.418982
937,46.445456
938,46.474700
939,46.499429
940,46.525287
941,46.548190
942,46.572646
943,46.574723
944,46.599136
945,46.624551
946,46.649491
947,46.672854
948,46.695326
949,46.719222
950,46.728822
951,46.751064
952,46.772839
953,46.795155
954,46.815919
955,46.837349
956,46.858553
957,46.886407
958,46.891293
959,46.911950
960,46.930539
961,46.950870
962,46.971574
963,46.992835
964,47.013553
965,47.038295
966,47.059963
967,47.087224
968,47.108720
969,47.128881
970,47.149483
971,47.169275
972,47.188963
973,47.208275
974,47.228177
975,47.248010
976,47.267755
977,47.287706
978,47.303593
979,47.331441
980,47.351189
981,47.371146
982,47.390707
983,47.410569
984,47.430646
985,47.448132
986,47.467378
987,47.491122
988,47.512169
989,47.537753
990,47.557884
991,47.560504
992,47.579986
993,47.600371
994,47.620057
995,47.640514
996,47.658535
997,47.683713
998,47.701964
999,47.719714
1000,47.744217
1001,47.765169
1002,47.786769
1003,47.816027
1004,47.823827
1005,47.841840
1006,47.854724
1007,47.870720
1008,47.886998
1009,47.902957
1010,47.918398
1011,47.933646
1012,47.949618
1013,47.967702
1014,47.982301
1015,47.992999
1016,48.007571
1017,48.022727
1018,48.036833
1019,48.055204
1020,48.069846
1021,48.081379
1022,48.099790
1023,48.114222
1024,48.129061
1025,48.143347
1026,48.157592
1027,48.171773
1028,48.187780
1029,48.202431
1030,48.206192
1031,48.223415
1032,48.236987
1033,48.256266
1034,48.272541
1035,48.285978
1036,48.311074
1037,48.324204
1038,48.337383
1039,48.350128
1040,48.362341
1041,48.368141
1042,48.370198
1043,48.385689
1044,48.398504
1045,48.413349
1046,48.429597
1047,48.443801
1048,48.456437
1049,48.468971
1050,48.470610
1051,48.483477
1052,48.496279
1053,48.513666
1054,48.526807
1055,48.539485
1056,48.553013
