Round Number, Total Energy Consumption
847,44.220827
848,44.249299
849,44.277612
850,44.305742
851,44.336371
852,44.365996
853,44.397243
854,44.424746
855,44.453522
856,44.482232
857,44.510656
858,44.539610
859,44.570558
860,44.599995
861,44.621606
862,44.650556
863,44.679626
864,44.709389
865,44.732880
866,44.761163
867,44.790480
868,44.818156
869,44.846643
870,44.875744
871,44.902944
872,44.930618
873,44.959073
874,44.986676
875,45.014612
876,45.045641
877,45.072743
878,45.098382
879,45.101430
880,45.128372
881,45.156982
882,45.183506
883,45.210884
884,45.236872
885,45.263909
886,45.290561
887,45.317212
888,45.319709
889,45.345161
890,45.371760
891,45.397792
892,45.423349
893,45.453299
894,45.471915
895,45.497541
896,45.525297
897,45.551070
898,45.577660
899,45.604695
900,45.630758
901,45.657567
902,45.683527
903,45.711189
904,45.739921
905,45.765091
906,45.795519
907,45.821291
908,45.824328
909,45.850621
910,45.877057
911,45.907564
912,45.932516
913,45.976650
914,46.001547
915,46.027373
916,46.034701
917,46.060634
918,46.086209
919,46.110754
920,46.138441
921,46.177849
922,46.181735
923,46.207207
924,46.232699
925,46.256145
926,46.280825
927,46.305571
928,46.332590
929,46.357188
930,46.382476
931,46.406765
932,46.433024
933,46.458730
934,46.486426
935,46.510059
936,46.534326
937,46.539994
938,46.564935
939,46.593009
940,46.617270
941,46.641783
942,46.649808
943,46.673822
944,46.699361
945,46.726715
946,46.752395
947,46.777232
948,46.800014
949,46.824431
950,46.845987
951,46.870456
952,46.907981
953,46.927809
954,46.951158
955,46.974461
956,46.996724
957,47.001274
958,47.024183
959,47.053331
960,47.075474
961,47.090907
962,47.115019
963,47.142220
964,47.164693
965,47.190489
966,47.212948
967,47.237032
968,47.259795
969,47.289774
970,47.311397
971,47.332695
972,47.342541
973,47.364267
974,47.386443
975,47.406944
976,47.428078
977,47.448751
978,47.470797
979,47.491976
980,47.500576
981,47.520093
982,47.546750
983,47.551342
984,47.570933
985,47.598230
986,47.616631
987,47.639480
988,47.657947
989,47.676057
990,47.695536
991,47.714094
992,47.732654
993,47.750742
994,47.769332
995,47.790430
996,47.821376
997,47.840748
998,47.842828
999,47.861345
1000,47.877537
1001,47.896048
1002,47.918109
1003,47.922281
1004,47.939944
1005,47.957809
1006,47.974732
1007,47.990910
1008,48.011981
1009,48.029046
1010,48.046959
1011,48.064529
1012,48.082255
1013,48.103532
1014,48.117847
1015,48.137430
1016,48.143059
1017,48.160693
1018,48.175998
1019,48.192366
1020,48.208275
1021,48.223199
1022,48.238133
1023,48.241074
1024,48.256355
1025,48.270471
1026,48.285040
1027,48.299370
1028,48.317490
1029,48.331082
1030,48.345335
1031,48.351535
1032,48.364892
1033,48.378838
1034,48.393290
1035,48.395063
1036,48.409333
1037,48.422358
1038,48.435692
1039,48.451363
1040,48.465425
1041,48.484254
1042,48.497468
1043,48.512004
1044,48.524795
1045,48.537713
1046,48.550242
1047,48.563002
1048,48.573901
1049,48.585907
1050,48.599256
1051,48.604689
1052,48.617844
1053,48.628963
1054,48.641523
1055,48.653481
1056,48.664809
1057,48.678072
1058,48.688641
1059,48.699694
1060,48.710226
1061,48.720769
1062,48.721996
1063,48.726796
1064,48.737394
1065,48.742194
1066,48.746994
1067,48.756800
1068,48.767299
1069,48.777599
1070,48.788035
1071,48.798260
1072,48.809956
1073,48.821263
1074,48.831822
1075,48.842198
1076,48.845832
1077,48.857128
1078,48.869520
1079,48.879794
1080,48.889998
1081,48.900692
1082,48.911647
1083,48.921883
1084,48.923110
1085,48.933622
1086,48.943771
1087,48.948571
1088,48.963685
1089,48.973958
1090,48.983942
1091,48.995774
1092,49.007547
1093,49.018002
1094,49.028084
1095,49.038503
1096,49.049370
1097,49.059802
1098,49.061970
1099,49.073901
1100,49.086094
1101,49.095863
1102,49.100907
1103,49.111579
1104,49.121952
1105,49.131861
1106,49.141707
1107,49.146307
1108,49.155390
1109,49.159790
1110,49.169157
1111,49.171452
1112,49.175852
1113,49.186228
1114,49.195910
1115,49.205471
1116,49.214052
1117,49.223330
1118,49.227530
1119,49.237345
1120,49.246385
1121,49.249385
1122,49.262271
1123,49.271004
1124,49.279583
1125,49.283383
