Round Number, Network Remaining Energy
924,3.767301
925,3.743855
926,3.719175
927,3.694429
928,3.667410
929,3.642812
930,3.617524
931,3.593235
932,3.566976
933,3.541270
934,3.513574
935,3.489941
936,3.465674
937,3.460006
938,3.435065
939,3.406991
940,3.382730
941,3.358217
942,3.350192
943,3.326178
944,3.300639
945,3.273285
946,3.247605
947,3.222768
948,3.199986
949,3.175569
950,3.154013
951,3.129544
952,3.092019
953,3.072191
954,3.048842
955,3.025539
956,3.003276
957,2.998726
958,2.975817
959,2.946669
960,2.924526
961,2.909093
962,2.884981
963,2.857780
964,2.835307
965,2.809511
966,2.787052
967,2.762968
968,2.740205
969,2.710226
970,2.688603
971,2.667305
972,2.657459
973,2.635733
974,2.613557
975,2.593056
976,2.571922
977,2.551249
978,2.529203
979,2.508024
980,2.499424
981,2.479907
982,2.453250
983,2.448658
984,2.429067
985,2.401770
986,2.383369
987,2.360520
988,2.342053
989,2.323943
990,2.304464
991,2.285906
992,2.267346
993,2.249258
994,2.230668
995,2.209570
996,2.178624
997,2.159252
998,2.157172
999,2.138655
1000,2.122463
1001,2.103952
1002,2.081891
1003,2.077719
1004,2.060056
1005,2.042191
1006,2.025268
1007,2.009090
1008,1.988019
1009,1.970954
1010,1.953041
1011,1.935471
1012,1.917745
1013,1.896468
1014,1.882153
1015,1.862570
1016,1.856941
1017,1.839307
1018,1.824002
1019,1.807634
1020,1.791725
1021,1.776801
1022,1.761867
1023,1.758926
1024,1.743645
1025,1.729529
1026,1.714960
1027,1.700630
1028,1.682510
1029,1.668918
1030,1.654665
1031,1.648465
1032,1.635108
1033,1.621162
1034,1.606710
1035,1.604937
1036,1.590667
1037,1.577642
1038,1.564308
1039,1.548637
1040,1.534575
1041,1.515746
1042,1.502532
1043,1.487996
1044,1.475205
1045,1.462287
1046,1.449758
1047,1.436998
1048,1.426099
1049,1.414093
1050,1.400744
1051,1.395311
1052,1.382156
1053,1.371037
1054,1.358477
1055,1.346519
1056,1.335191
1057,1.321928
1058,1.311359
1059,1.300306
1060,1.289774
1061,1.279231
1062,1.278004
1063,1.273204
1064,1.262606
1065,1.257806
1066,1.253006
1067,1.243200
1068,1.232701
1069,1.222401
1070,1.211965
1071,1.201740
1072,1.190044
1073,1.178737
1074,1.168178
1075,1.157802
1076,1.154168
1077,1.142872
1078,1.130480
1079,1.120206
1080,1.110002
1081,1.099308
1082,1.088353
1083,1.078117
1084,1.076890
1085,1.066378
1086,1.056229
1087,1.051429
1088,1.036315
1089,1.026042
1090,1.016058
1091,1.004226
1092,0.992453
1093,0.981998
1094,0.971916
1095,0.961497
1096,0.950630
1097,0.940198
1098,0.938030
1099,0.926099
1100,0.913906
1101,0.904137
1102,0.899093
1103,0.888421
1104,0.878048
1105,0.868139
1106,0.858293
1107,0.853693
1108,0.844610
1109,0.840210
1110,0.830843
1111,0.828548
1112,0.824148
1113,0.813772
1114,0.804090
1115,0.794529
1116,0.785948
1117,0.776670
1118,0.772470
1119,0.762655
1120,0.753615
1121,0.750615
1122,0.737729
1123,0.728996
1124,0.720417
1125,0.716617
1126,0.712817
1127,0.703451
1128,0.695763
1129,0.687791
1130,0.679099
1131,0.671827
1132,0.664721
1133,0.657078
1134,0.652752
1135,0.651524
1136,0.648324
1137,0.640448
1138,0.637248
1139,0.629871
1140,0.621562
1141,0.620334
1142,0.613437
1143,0.610437
1144,0.603629
1145,0.600629
1146,0.594325
1147,0.591325
1148,0.584012
1149,0.577340
1150,0.570397
1151,0.564393
1152,0.561593
1153,0.555295
1154,0.549169
1155,0.542153
1156,0.538501
1157,0.535935
1158,0.533335
1159,0.527378
1160,0.526595
1161,0.520958
1162,0.515270
1163,0.509512
1164,0.501742
1165,0.499342
1166,0.496942
1167,0.491137
1168,0.486097
1169,0.483697
1170,0.482872
1171,0.478070
1172,0.473017
1173,0.467675
1174,0.463059
1175,0.458281
1176,0.456281
